Week,Mode of Transport,Year,VALUE
22,1,2022,628508.0
22,3,2022,646250.0
22,0,2022,3692053.0
23,2,2022,2297192.0
23,1,2022,689753.0
23,3,2022,718874.0
23,0,2022,3705819.0
24,2,2022,2458431.0
24,1,2022,672758.0
24,3,2022,777823.0
24,0,2022,3909012.0
25,2,2022,2456029.0
25,1,2022,641014.0
25,3,2022,723963.0
25,0,2022,3821006.0
26,2,2022,2455447.0
26,1,2022,688352.0
26,3,2022,768799.0
26,0,2022,3912598.0
27,2,2022,2463379.0
27,1,2022,693305.0
27,3,2022,788475.0
27,0,2022,3945159.0
28,2,2022,2437677.0
28,1,2022,668149.0
28,3,2022,780426.0
28,0,2022,3886252.0
29,2,2022,2428637.0
29,1,2022,654034.0
29,3,2022,694529.0
29,0,2022,3777200.0
30,2,2022,2391497.0
30,1,2022,599663.0
30,3,2022,695776.0
30,0,2022,3686936.0
31,2,2022,2569142.0
31,1,2022,700075.0
31,3,2022,776829.0
31,0,2022,4046046.0
32,2,2022,2555241.0
32,1,2022,687677.0
32,3,2022,708368.0
32,0,2022,3951286.0
33,2,2022,2614443.0
33,1,2022,719994.0
33,3,2022,753379.0
33,0,2022,4087816.0
34,2,2022,2694493.0
34,1,2022,703280.0
34,3,2022,674115.0
34,0,2022,4071888.0
35,2,2022,2770458.0
35,1,2022,746245.0
35,3,2022,735395.0
35,0,2022,4252098.0
36,2,2022,2991127.0
36,1,2022,823471.0
36,3,2022,781714.0
36,0,2022,4596312.0
37,2,2022,3026029.0
37,1,2022,849445.0
37,3,2022,777177.0
37,0,2022,4652651.0
38,2,2022,3092163.0
38,1,2022,885387.0
38,3,2022,841960.0
38,0,2022,4819510.0
39,2,2022,3132650.0
39,1,2022,896210.0
39,3,2022,841573.0
39,0,2022,4870433.0
40,2,2022,3130260.0
40,1,2022,885730.0
40,3,2022,814269.0
40,0,2022,4830259.0
41,2,2022,3096053.0
41,1,2022,866776.0
41,3,2022,824247.0
41,0,2022,4787076.0
42,2,2022,3157869.0
42,1,2022,891987.0
42,3,2022,799752.0
42,0,2022,4849608.0
43,2,2022,2723592.0
43,1,2022,736242.0
43,3,2022,767786.0
43,0,2022,4227620.0
44,2,2022,3157496.0
44,1,2022,864536.0
44,3,2022,860900.0
44,0,2022,4882932.0
45,2,2022,3192643.0
45,1,2022,891579.0
45,3,2022,863826.0
45,0,2022,4948048.0
46,2,2022,3114790.0
46,1,2022,871810.0
46,3,2022,810472.0
46,0,2022,4797072.0
47,2,2022,3147713.0
47,1,2022,852232.0
47,3,2022,810146.0
47,0,2022,4810091.0
48,2,2022,3073856.0
48,1,2022,840769.0
48,3,2022,831900.0
48,0,2022,4746525.0
49,2,2022,3050335.0
49,1,2022,800708.0
49,3,2022,805056.0
49,0,2022,4656099.0
50,2,2022,2741688.0
50,1,2022,662302.0
50,3,2022,619257.0
50,0,2022,4023247.0
51,2,2022,2840848.0
51,1,2022,478378.0
51,3,2022,410985.0
51,0,2022,3730211.0
52,2,2022,3449216.6
52,1,2022,3168222.2
52,3,2022,2887227.8
52,0,2022,2606233.4
0,2,2023,2325239.0
0,1,2023,614352.0
